lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
RAnkleAngles,,LWristAngles,,RNeckAngles,,,LHeadAngles,,,RKneeAngles,,,LElbowAngles,,,RWristAngles,,LSpineAngles,,
X,Y,X,Y,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,X,Y,
13.800336,-1.294204,1.971345,-28.105112,-11.558697,-7.486227,3.445313,2.191915,-8.373461,-0.000796,150.965866,-1.051593,-1.202531,58.022572,0.0,0.0,67.141403,-13.130899,-2.068406,8.650071,
13.802866,-1.307313,1.968009,-28.010561,-11.547658,-7.447604,3.556892,2.162001,-8.436393,0.066072,150.962021,-1.090623,-1.204651,58.109753,0.0,0.0,67.045448,-13.139985,-2.014866,8.749929,
13.807376,-1.321582,1.966701,-27.919464,-11.53399,-7.405142,3.672374,2.132305,-8.501728,0.133994,150.95726,-1.128724,-1.206502,58.204693,0.0,0.0,66.950371,-13.146682,-1.958237,8.854181,
13.813973,-1.336977,1.967354,-27.831707,-11.517692,-7.358808,3.791667,2.102832,-8.569428,0.202962,150.951569,-1.165816,-1.20793,58.307384,0.0,0.0,66.856277,-13.151052,-1.898531,8.96283,
13.82268,-1.353468,1.970205,-27.747656,-11.498771,-7.308706,3.914679,2.073588,-8.639569,0.272972,150.945038,-1.201835,-1.208823,58.417809,0.0,0.0,66.763374,-13.153177,-1.835776,9.075831,
13.833651,-1.371008,1.975255,-27.667362,-11.477239,-7.254661,4.041299,2.0446,-8.712009,0.344051,150.937653,-1.236724,-1.209065,58.535976,0.0,0.0,66.671806,-13.153083,-1.769965,9.193227,
13.846952,-1.389567,1.982628,-27.590986,-11.453078,-7.196707,4.17146,2.015843,-8.786802,0.416222,150.929474,-1.270406,-1.208544,58.661823,0.0,0.0,66.581711,-13.150852,-1.701127,9.315001,
13.862621,-1.4091,1.992289,-27.518457,-11.426339,-7.134871,4.305007,1.987364,-8.863935,0.489478,150.920532,-1.302851,-1.207141,58.795387,0.0,0.0,66.49324,-13.146572,-1.629292,9.441119,
13.880718,-1.429576,2.004505,-27.450207,-11.397029,-7.069149,4.441885,1.959153,-8.943425,0.563856,150.910873,-1.333999,-1.204753,58.936588,0.0,0.0,66.406563,-13.140271,-1.554466,9.571578,
13.901299,-1.450947,2.019213,-27.386112,-11.365166,-6.999451,4.581943,1.931216,-9.025181,0.639352,150.900482,-1.363817,-1.201268,59.085411,0.0,0.0,66.321831,-13.132064,-1.476671,9.706384,
13.924368,-1.473172,2.036615,-27.32645,-11.330791,-6.925856,4.725069,1.903579,-9.109231,0.715976,150.889435,-1.392299,-1.196619,59.241829,0.0,0.0,66.239182,-13.122025,-1.395926,9.84544,
13.949966,-1.496211,2.05663,-27.271288,-11.293926,-6.848338,4.871159,1.876229,-9.195556,0.793776,150.877731,-1.419395,-1.190701,59.405788,0.0,0.0,66.158745,-13.11022,-1.312272,9.988742,
13.978059,-1.52002,2.079574,-27.220789,-11.254604,-6.766878,5.020075,1.849167,-9.284107,0.872773,150.865387,-1.44512,-1.183459,59.577206,0.0,0.0,66.080696,-13.096745,-1.225731,10.136242,
14.008646,-1.544546,2.105353,-27.175011,-11.212886,-6.681517,5.171676,1.822412,-9.374891,0.952969,150.852448,-1.469477,-1.174823,59.756062,0.0,0.0,66.005119,-13.081673,-1.136321,10.28789,
14.04167,-1.569752,2.133968,-27.13398,-11.168803,-6.59223,5.325831,1.795956,-9.467848,1.034376,150.838913,-1.492467,-1.16476,59.942307,0.0,0.0,65.932175,-13.065094,-1.044097,10.443619,
14.077044,-1.595579,2.165712,-27.098024,-11.122416,-6.499046,5.482425,1.769793,-9.562963,1.117051,150.824814,-1.51414,-1.153231,60.135792,0.0,0.0,65.861946,-13.047118,-0.949083,10.603354,
14.114743,-1.621974,2.200488,-27.067078,-11.073797,-6.401999,5.641352,1.743936,-9.660216,1.201031,150.81015,-1.53453,-1.140237,60.336491,0.0,0.0,65.794548,-13.027801,-0.851313,10.767016,
14.154558,-1.648901,2.238314,-27.041153,-11.022989,-6.301109,5.802409,1.718355,-9.759558,1.286301,150.794937,-1.553681,-1.125752,60.544304,0.0,0.0,65.730103,-13.007252,-0.750835,10.934521,
14.19642,-1.676287,2.279325,-27.020498,-10.97007,-6.19642,5.965517,1.693047,-9.860976,1.372937,150.77919,-1.571665,-1.109802,60.759102,0.0,0.0,65.668663,-12.985585,-0.647694,11.105762,
14.240182,-1.70407,2.323483,-27.005014,-10.915121,-6.087987,6.130532,1.667994,-9.964421,1.460958,150.762909,-1.588567,-1.092422,60.980797,0.0,0.0,65.610298,-12.962852,-0.541934,11.280599,
14.28559,-1.732203,2.370805,-26.99474,-10.858198,-5.975775,6.297282,1.643166,-10.069798,1.550402,150.746094,-1.604473,-1.073647,61.209232,0.0,0.0,65.555115,-12.939183,-0.433619,11.458973,
14.332505,-1.760603,2.421294,-26.989788,-10.799433,-5.859955,6.465672,1.618572,-10.177155,1.641309,150.728775,-1.619497,-1.053544,61.444321,0.0,0.0,65.503113,-12.914663,-0.322795,11.640682,
14.380665,-1.789217,2.474925,-26.990025,-10.738887,-5.740538,6.635535,1.594159,-10.286406,1.733709,150.710922,-1.633733,-1.032199,61.685898,0.0,0.0,65.454361,-12.889391,-0.209525,11.825636,
14.429782,-1.817966,2.531643,-26.995487,-10.676672,-5.617576,6.80676,1.569899,-10.39747,1.827657,150.692535,-1.64732,-1.009672,61.9338,0.0,0.0,65.408852,-12.863446,-0.093861,12.013637,
14.479641,-1.846767,2.591376,-27.006071,-10.612888,-5.491177,6.979223,1.54576,-10.510337,1.923202,150.67363,-1.660386,-0.98608,62.187901,0.0,0.0,65.366661,-12.836938,0.024109,12.20455,
14.529935,-1.875546,2.654092,-27.021725,-10.547647,-5.361412,7.152774,1.5217,-10.624933,2.020381,150.654175,-1.673064,-0.961524,62.447975,0.0,0.0,65.327751,-12.809946,0.144329,12.398173,
14.580338,-1.904217,2.719625,-27.042307,-10.481055,-5.228397,7.327301,1.497657,-10.741203,2.119253,150.634171,-1.685505,-0.93613,62.713867,0.0,0.0,65.29213,-12.782609,0.266715,12.594309,
14.630547,-1.932686,2.787858,-27.067762,-10.413251,-5.092186,7.502685,1.473595,-10.859064,2.219882,150.613602,-1.697851,-0.910002,62.985386,0.0,0.0,65.259773,-12.754962,0.391191,12.792782,
14.680192,-1.960869,2.858745,-27.0979,-10.344343,-4.952946,7.678813,1.449443,-10.97849,2.322317,150.592438,-1.710253,-0.883279,63.262299,0.0,0.0,65.230606,-12.727129,0.517663,12.993356,
14.728919,-1.988675,2.931856,-27.132412,-10.274462,-4.810821,7.85556,1.425133,-11.099426,2.426597,150.570663,-1.722852,-0.856081,63.544426,0.0,0.0,65.204666,-12.699196,0.646052,13.195814,
14.776385,-2.015991,3.007174,-27.171167,-10.203766,-4.665812,8.03284,1.400619,-11.221716,2.532805,150.548279,-1.735818,-0.82856,63.831539,0.0,0.0,65.181839,-12.671268,0.77626,13.399927,
14.822221,-2.042719,3.084387,-27.2139,-10.132374,-4.518222,8.210551,1.375797,-11.345402,2.64101,150.525208,-1.749279,-0.800808,64.12339,0.0,0.0,65.162094,-12.643411,0.908182,13.605422,
14.866049,-2.06875,3.163298,-27.260372,-10.060412,-4.368061,8.388559,1.350576,-11.470321,2.75124,150.50145,-1.763394,-0.772978,64.419731,0.0,0.0,65.145363,-12.615721,1.041735,13.81208,
14.907484,-2.093978,3.243475,-27.310196,-9.988058,-4.215574,8.566798,1.324887,-11.596432,2.86359,150.476944,-1.778297,-0.745178,64.720375,0.0,0.0,65.131538,-12.588283,1.176792,14.019584,
14.946224,-2.118283,3.32468,-27.363052,-9.915452,-4.060872,8.745216,1.298626,-11.723668,2.978136,150.45166,-1.794096,-0.717516,65.024979,0.0,0.0,65.12059,-12.561181,1.313242,14.227715,
14.981864,-2.141555,3.406577,-27.418566,-9.84277,-3.904149,8.923707,1.271716,-11.851932,3.094926,150.425537,-1.810928,-0.690076,65.333313,0.0,0.0,65.112404,-12.534517,1.450982,14.436137,
15.014031,-2.16369,3.488597,-27.476292,-9.770122,-3.745554,9.102189,1.244001,-11.981117,3.214046,150.398514,-1.828883,-0.662969,65.645149,0.0,0.0,65.106842,-12.508321,1.589885,14.644576,
15.042445,-2.18456,3.570315,-27.535692,-9.697704,-3.585279,9.280636,1.215407,-12.111156,3.335563,150.370529,-1.848047,-0.636251,65.960182,0.0,0.0,65.103874,-12.482736,1.729817,14.85273,
15.066706,-2.204055,3.651435,-27.596472,-9.625663,-3.423465,9.458962,1.185792,-12.241909,3.459555,150.341522,-1.868535,-0.609981,66.278107,0.0,0.0,65.103371,-12.457784,1.870671,15.060284,
15.086616,-2.222049,3.731441,-27.658197,-9.554166,-3.260413,9.637125,1.155035,-12.37339,3.586107,150.311371,-1.890381,-0.584212,66.598679,0.0,0.0,65.105209,-12.433574,2.012304,15.266924,
15.101821,-2.238444,3.80958,-27.720074,-9.483388,-3.096221,9.815101,1.123018,-12.505417,3.715288,150.279999,-1.913625,-0.558959,66.921646,0.0,0.0,65.109329,-12.410171,2.154583,15.472334,
15.112137,-2.253108,3.885485,-27.781763,-9.413475,-2.931065,9.992821,1.089593,-12.637852,3.847183,150.247314,-1.938334,-0.534239,67.246643,0.0,0.0,65.115585,-12.387643,2.297362,15.676182,
15.117259,-2.265955,3.958496,-27.842636,-9.344601,-2.765267,10.170305,1.054612,-12.770732,3.981856,150.213196,-1.964502,-0.510056,67.573479,0.0,0.0,65.123894,-12.366069,2.440511,15.878147,
15.117066,-2.276857,4.028086,-27.902174,-9.276933,-2.598912,10.347482,1.017941,-12.903818,4.119408,150.17749,-1.992155,-0.486382,67.901787,0.0,0.0,65.134163,-12.345505,2.58388,16.077885,
15.111338,-2.285726,4.093374,-27.959604,-9.210625,-2.432265,10.524396,0.979412,-13.037086,4.25992,150.140106,-2.021283,-0.463183,68.231323,0.0,0.0,65.146255,-12.326019,2.727331,16.275074,
15.100008,-2.292463,4.153962,-28.014582,-9.145873,-2.265519,10.701005,0.938911,-13.170402,4.403461,150.100845,-2.051844,-0.440423,68.561836,0.0,0.0,65.160103,-12.307676,2.8707,16.469364,
15.082936,-2.296982,4.209082,-28.066254,-9.082787,-2.098892,10.877313,0.896213,-13.303657,4.55011,150.05957,-2.083824,-0.418039,68.893005,0.0,0.0,65.175636,-12.290552,3.013855,16.660423,
15.060104,-2.299196,4.258036,-28.114113,-9.021596,-1.932579,11.053317,0.851237,-13.43674,4.699949,150.016083,-2.117153,-0.395953,69.224571,0.0,0.0,65.192696,-12.274693,3.156628,16.847914,
15.031484,-2.299036,4.300246,-28.157585,-8.962392,-1.766763,11.229039,0.803749,-13.569517,4.853073,149.970169,-2.1518,-0.374116,69.556274,0.0,0.0,65.211273,-12.260148,3.298866,17.031521,
14.997099,-2.296427,4.334901,-28.195959,-8.905369,-1.601715,11.404513,0.753613,-13.701934,5.009547,149.921661,-2.187713,-0.352423,69.887863,0.0,0.0,65.231209,-12.246984,3.440426,17.210875,
14.956977,-2.291324,4.361318,-28.22854,-8.850661,-1.437562,11.579729,0.700656,-13.833822,5.169449,149.87027,-2.224815,-0.330824,70.219086,0.0,0.0,65.252449,-12.235252,3.581134,17.38567,
14.911264,-2.283672,4.378872,-28.254837,-8.798442,-1.274488,11.754725,0.644729,-13.965043,5.332862,149.815796,-2.263029,-0.309191,70.549713,0.0,0.0,65.274963,-12.225005,3.720846,17.555588,
14.860064,-2.273435,4.386887,-28.274185,-8.748812,-1.112774,11.929567,0.585612,-14.095545,5.499877,149.757965,-2.302315,-0.287486,70.879486,0.0,0.0,65.29863,-12.216285,3.859403,17.720289,
