lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
-0.399651,-30.385281,-15.58428,-1.707464,9.302051,-2.590938,-2.978499,13.192767,-3.054017,-7.455449,57.954216,0.0,0.0,-126.192863,32.976318,11.242428,-6.893784,4.572018,6.351838,1.589427,
-0.452034,-30.219519,-15.599424,-1.68653,9.295059,-2.583866,-2.978596,13.2389,-3.072967,-7.399639,57.936329,0.0,0.0,-126.199043,32.998238,11.221903,-6.919559,4.604697,6.373118,1.604136,
-0.503473,-30.051552,-15.614982,-1.66493,9.287797,-2.576744,-2.978946,13.287769,-3.092454,-7.343531,57.91795,0.0,0.0,-126.206253,33.02021,11.19988,-6.94747,4.638536,6.395059,1.619547,
-0.553739,-29.882101,-15.630961,-1.64259,9.280231,-2.569553,-2.979601,13.339398,-3.112446,-7.287124,57.898857,0.0,0.0,-126.214439,33.042171,11.176274,-6.977503,4.673573,6.4177,1.635731,
-0.60261,-29.711836,-15.647367,-1.619531,9.272347,-2.56233,-2.980621,13.393826,-3.13294,-7.23042,57.878853,0.0,0.0,-126.223694,33.064011,11.151232,-7.009676,4.709831,6.441063,1.652719,
-0.649746,-29.541695,-15.664247,-1.595715,9.264155,-2.555098,-2.98208,13.451064,-3.153918,-7.173429,57.857643,0.0,0.0,-126.23394,33.085678,11.124748,-7.043973,4.747369,6.465185,1.670591,
-0.695082,-29.372358,-15.68161,-1.571082,9.255633,-2.547809,-2.984034,13.511157,-3.175379,-7.116144,57.835056,0.0,0.0,-126.245255,33.107101,11.096885,-7.080413,4.786207,6.490095,1.689381,
-0.73844,-29.204308,-15.699492,-1.545626,9.24677,-2.540489,-2.986548,13.574096,-3.197297,-7.058565,57.810852,0.0,0.0,-126.257507,33.128208,11.067762,-7.118947,4.82637,6.51584,1.709136,
-0.77965,-29.038532,-15.717867,-1.519329,9.237498,-2.533165,-2.989695,13.63991,-3.219659,-7.000708,57.784794,0.0,0.0,-126.270744,33.148937,11.037467,-7.159565,4.867898,6.54246,1.729921,
-0.81858,-28.875584,-15.736826,-1.492137,9.227865,-2.52581,-2.993541,13.708609,-3.242456,-6.942562,57.756668,0.0,0.0,-126.284866,33.16925,11.00606,-7.202249,4.910822,6.569995,1.751786,
-0.855058,-28.71627,-15.756336,-1.464088,9.217795,-2.518469,-2.998145,13.7802,-3.265668,-6.884139,57.726196,0.0,0.0,-126.299843,33.189091,10.973682,-7.246959,4.955142,6.598494,1.774751,
-0.889106,-28.5611,-15.776464,-1.435053,9.207297,-2.511072,-3.003564,13.854676,-3.289285,-6.825431,57.693233,0.0,0.0,-126.315605,33.208416,10.940337,-7.293648,5.000919,6.628006,1.798898,
-0.920509,-28.41086,-15.797218,-1.405096,9.196323,-2.503686,-3.009875,13.932035,-3.313287,-6.766447,57.657539,0.0,0.0,-126.332077,33.227211,10.906328,-7.342266,5.048147,6.658586,1.824249,
-0.949351,-28.265945,-15.818617,-1.374142,9.184848,-2.496285,-3.017117,14.012265,-3.337656,-6.707191,57.618889,0.0,0.0,-126.349098,33.245415,10.871714,-7.392762,5.096863,6.690279,1.850865,
-0.975539,-28.127127,-15.840718,-1.342158,9.172863,-2.488835,-3.025376,14.095352,-3.362377,-6.647663,57.577114,0.0,0.0,-126.366615,33.263023,10.836664,-7.445069,5.147071,6.723147,1.878777,
-0.999298,-27.994556,-15.863531,-1.309161,9.160328,-2.481387,-3.034691,14.181267,-3.387433,-6.587873,57.53207,0.0,0.0,-126.384491,33.280033,10.801307,-7.49912,5.198791,6.757237,1.908026,
-1.02037,-27.869064,-15.887076,-1.275115,9.1472,-2.473913,-3.045134,14.269975,-3.412796,-6.527821,57.483582,0.0,0.0,-126.402634,33.296398,10.765827,-7.554825,5.252016,6.792611,1.938643,
-1.039213,-27.750643,-15.911404,-1.239931,9.133471,-2.466383,-3.056759,14.361432,-3.438453,-6.467506,57.43153,0.0,0.0,-126.42083,33.312145,10.730469,-7.612099,5.306804,6.829321,1.97071,
-1.055732,-27.639866,-15.936528,-1.203683,9.119097,-2.458848,-3.069597,14.455585,-3.464384,-6.406938,57.37579,0.0,0.0,-126.439026,33.327263,10.695284,-7.67084,5.363109,6.867425,2.004207,
-1.070215,-27.536888,-15.962471,-1.166304,9.104044,-2.451264,-3.083714,14.552385,-3.490561,-6.34612,57.316296,0.0,0.0,-126.457054,33.341755,10.660523,-7.730956,5.420941,6.906975,2.039187,
-1.082898,-27.441828,-15.989283,-1.127685,9.0883,-2.443559,-3.099147,14.651756,-3.516963,-6.285061,57.252975,0.0,0.0,-126.474777,33.35564,10.626332,-7.792331,5.480322,6.948022,2.0757,
-1.094048,-27.354803,-16.01697,-1.08795,9.071819,-2.43585,-3.115961,14.753627,-3.54358,-6.223761,57.185837,0.0,0.0,-126.492012,33.368923,10.592954,-7.854846,5.541245,6.990622,2.113756,
-1.103959,-27.275774,-16.045567,-1.046978,9.054586,-2.428034,-3.134189,14.857898,-3.570371,-6.162222,57.114876,0.0,0.0,-126.508636,33.381603,10.560561,-7.918373,5.60369,7.03482,2.153388,
-1.113039,-27.204704,-16.075094,-1.004784,9.036568,-2.420142,-3.153856,14.964485,-3.597324,-6.10046,57.040123,0.0,0.0,-126.524498,33.393719,10.529334,-7.982792,5.667663,7.080657,2.194625,
-1.121679,-27.141426,-16.105551,-0.961286,9.017723,-2.412094,-3.175016,15.073262,-3.624409,-6.038477,56.961658,0.0,0.0,-126.539459,33.4053,10.4994,-8.047956,5.733145,7.128171,2.237488,
-1.130395,-27.085518,-16.136978,-0.91653,8.998047,-2.403947,-3.197696,15.18412,-3.651608,-5.976278,56.879635,0.0,0.0,-126.553421,33.416344,10.470985,-8.113723,5.80013,7.177404,2.281998,
-1.139607,-27.036785,-16.169376,-0.870454,8.977509,-2.395635,-3.221921,15.296924,-3.678885,-5.91387,56.794186,0.0,0.0,-126.566162,33.426876,10.444286,-8.179946,5.868586,7.228377,2.328164,
-1.149971,-26.994612,-16.202753,-0.823037,8.956086,-2.387119,-3.247737,15.41154,-3.706215,-5.851264,56.705521,0.0,0.0,-126.577652,33.436932,10.419385,-8.246485,5.938471,7.281115,2.375986,
-1.162035,-26.958469,-16.23712,-0.7743,8.933764,-2.378444,-3.275152,15.5278,-3.733581,-5.788464,56.613903,0.0,0.0,-126.587814,33.446514,10.396501,-8.313162,6.009798,7.335635,2.425494,
-1.176343,-26.927879,-16.272465,-0.724184,8.910518,-2.369526,-3.3042,15.645559,-3.760949,-5.725483,56.519581,0.0,0.0,-126.596451,33.455643,10.375765,-8.379844,6.082504,7.391943,2.476679,
-1.193753,-26.901794,-16.308796,-0.672679,8.886356,-2.360347,-3.334918,15.764631,-3.788287,-5.662327,56.422909,0.0,0.0,-126.603539,33.464333,10.357354,-8.44636,6.156568,7.450032,2.529546,
-1.21476,-26.879629,-16.346087,-0.6198,8.861246,-2.35089,-3.367291,15.884829,-3.815581,-5.599006,56.324257,0.0,0.0,-126.609039,33.472607,10.34133,-8.51254,6.231929,7.509898,2.584068,
-1.24021,-26.860271,-16.384321,-0.565546,8.835197,-2.341138,-3.40136,16.005966,-3.842783,-5.535531,56.224026,0.0,0.0,-126.612923,33.480469,10.327804,-8.578241,6.308537,7.57151,2.640239,
-1.270885,-26.842781,-16.423475,-0.509914,8.808204,-2.331056,-3.437136,16.127823,-3.869874,-5.471919,56.122704,0.0,0.0,-126.615105,33.487934,10.316901,-8.643287,6.386343,7.634839,2.698039,
